Date,ISOWeek,DOI,Version,Category,Title,Authors,Abstract
2026-06-22,26,10.64898/2026.06.19.733361,1,biochemistry,"Nucleotide-driven KaiC dynamics coordinate the core properties of the cyanobacterial circadian clock","Ito-Miwa, K.; Muranaka, T.; Kondo, T.; Terauchi, K.","Circadian clocks generate stable [~]24-h rhythms with a defined period, temperature compensation, and entrainment to external cues that set phase. However, the molecular reactions that generate these features are not fully understood. In cyanobacteria, timekeeping is driven by the hexameric ATPase KaiC, which consists of two homologous domains, CI and CII, and whose enzymatic turnover underlies rhythmic phosphorylation. Here we identify ADP release as the rate-limiting step in the KaiC ATPase cycle and demonstrate that the KaiC ATPase nucleotide cycle integrates core properties of the circadian clock. Across KaiC period mutants, increased ADP occupancy is associated with longer periods. Elevated temperature shifts KaiC toward an ADP-bound state, offsetting the thermal acceleration of ATP hydrolysis. KaiB reinforces this ADP-bound conformation by inhibiting nucleotide exchange, thereby strengthening inhibition of CI ATPase activity of KaiC and tuning oscillation amplitude in a temperature-dependent manner. In contrast, KaiA accelerates ADP-to-ATP exchange within the KaiB-KaiC complex, thereby stimulating CI ATPase activity and promoting KaiB-KaiC dissociation prior to KaiC phosphorylation. Phosphorylation begins only after this transition, indicating that KaiC nucleotide-bound state sets the phase of the phosphorylation cycle. Collectively, these results establish the nucleotide cycle of KaiC ATPase as a unifying mechanism that connects molecular reactions to the defining properties of the cyanobacterial circadian clock."
2026-06-22,26,10.64898/2026.02.17.706304,4,bioinformatics,"WITHDRAWN: Distilling Protein Language Models with Complementary Regularizers","Wijaya, E.","Withdrawal StatementThe authors have withdrawn this manuscript because the submitter did not have the rights to agree to the distribution license at the time of submission. Therefore, the authors do not wish this work to be cited as reference for the project. If you have any questions, please contact the corresponding author."
2026-06-22,26,10.64898/2026.04.19.719536,2,bioinformatics,"WITHDRAWN: Agent-Guided Ranking Policy Improvement for Peptide Drug Candidate Prioritization","Wijaya, E.","Withdrawal StatementThe authors have withdrawn this manuscript because the submitter did not have the rights to agree to the distribution license at the time of submission. Therefore, the authors do not wish this work to be cited as reference for the project. If you have any questions, please contact the corresponding author."
2026-06-22,26,10.64898/2026.01.05.697258,5,bioinformatics,"WITHDRAWN: Generating Structurally Diverse Therapeutic Peptides with GFlowNet","Wijaya, E.","Withdrawal StatementThe authors have withdrawn this manuscript because the submitter did not have the rights to agree to the distribution license at the time of submission. Therefore, the authors do not wish this work to be cited as reference for the project. If you have any questions, please contact the corresponding author."
2026-06-22,26,10.64898/2026.05.27.727227,2,bioinformatics,"WITHDRAWN: Preprint Commons: A platform for the systematic tracking of preprint trends and impact","Behera, B. P.; panda, B.","Withdrawal StatementThe authors have withdrawn their manuscript because it was posted without the consent of all authors. Therefore, the authors do not wish this work to be cited as reference for the project. If you have any questions, please contact the corresponding author."
2026-06-22,26,10.64898/2026.06.19.732932,1,biochemistry,"Capturing early events in aryl hydrocarbon receptor activation using two complementary protein-protein interaction assays","Kuehn, T.; Tumova, S.; Zacharewski, N.; Averdung, P.; Berdel, B.; Kellner, K.-H.; Pusch, S.; Jindra, M.; Opitz, C. A.; Prentzell, M. T.","The aryl hydrocarbon receptor (AHR) is a ligand-activated transcription factor that enables cellular adaptation to environmental, nutritional and metabolic cues. Upon ligand binding, AHR translocates to the nucleus, heterodimerizes with the AHR nuclear translocator (ARNT) and regulates gene expression. Current approaches to measure AHR activity rely on transcriptional readouts, which vary depending on cell type and ligand. Here, we introduce two complementary protein-protein interaction-based assays that detect AHR activation by monitoring AHR-ARNT complex formation. Split-luciferase (NanoBiT) and bimolecular fluorescence complementation (BiFC) detect AHR activation independently of transcriptional output, capturing agonist- and antagonist-dependent AHR modulation across multiple ligands and cellular contexts. NanoBiT enables rapid, real-time analysis of AHR dimerization, whereas BiFC supports imaging of AHR interactions at subcellular resolution. The assays capture further attributes of AHR signaling, including dissociation from chaperones or HIF-1-mediated competition for ARNT, and enable detection of AHR activation in biological samples. Hence, both assays provide versatile tools to study AHR signaling."
2026-06-22,26,10.64898/2026.06.17.732986,1,biophysics,"Mechanical tension expands the microtubule lattice stepwise and modulates kinesin-1 binding in an isoform-dependent manner","Lurz, Y.; Fischer, B. S. J.; Mishra, J.; Muras, L.; Schaeffer, E.; Ostap, E. M.; Mohd Rafiq, N.; Kulic, I.; Pyrpassopoulos, S.","Recent work has shown that the microtubule lattice possesses remarkable structural plasticity, with its conformation modulated by microtubule-associated proteins and motor proteins. However, how this plasticity responds to mechanical forces remains poorly understood. Here, we developed optical tweezers and fluorescence microscopy assays to measure the effect of tensile forces on single microtubules. Quantum dot decoration enabled nanometre-precision measurement of lattice distortions of [~]0.33% under a change of mean tensile force of [&lt;]{Delta}F[&gt;] = 10.6 pN, within the range Fmin = 1.29 pN to Fmax = 22.3 pN -- comparable to forces from one to three kinesin-1 motors. Within this force range, the binding rate of kinesin-1 isoform KIF5B decreased reversibly within seconds by [~]20% and the dissociation rate increased by [~]10%, reducing mean run length, that in extreme cases decreased by up to 46%. Substantial heterogeneity was also observed along individual microtubules, where distinct lattice regions responded differently to applied force, implying that lattice expansion is not always uniform. Consistent heterogeneity was observed in cells, where MAPs with competing conformational preferences assembled in non-overlapping patches along the same microtubule. A cooperatively-switching lattice Ising model based on tubulin conformational bistability, supported by dynamics simulations, quantitatively reproduces these observations with a critical switching force Fc = 8.5 pN, similar to established mechanosensory proteins such as talin and E-catenin. Strikingly, no significant effects were observed for KIF5C, revealing a kinesin isoform-dependent mechanoresponse. Together, these findings establish microtubules as mechanochemical signal transducers, converting mechanical forces into biochemical signals with the speed, spatial precision and sensitivity required for rapid cellular responses.  Significance StatementMicrotubules have been implicated as mechanotransducers in both mammalian and plant cells, yet a physical characterization of how mechanical forces are sensed and transduced into biochemical signals has been lacking. The present study demonstrates that modest tensile forces of less than 20 pN are sufficient to expand cooperatively the microtubule lattice by [~]0.3%, which in turn modulates its biochemical interactions with kinesin-1 in an isoform-dependent manner, selectively affecting KIF5B motor activity but not KIF5C. Strikingly, this mechanotransduction occurs on a timescale of seconds, implying that microtubules are highly efficient conduits for propagating mechanical information across the cell body. These findings establish microtubules as bona fide mechanochemical signal transducers with the speed and sensitivity required for rapid cellular responses."
2026-06-22,26,10.64898/2026.06.18.733180,1,biophysics,"Cell division dynamics generate heterogeneous contact-mediated signaling outputs","Dawson, J. E.; Malmi-Kakkada, A. N.","Contact mediated cell-cell communication where direct physical contact between adjacent ligand cells and receptor cells trigger signal output is important during growth, development and regeneration of organisms. While the molecular machinery underlying contact mediated cell signaling is well explored, how the local spatial context of cells affect cell-cell contact mediated gene expression is not clear. Here, we present a vertex-based computational model to study spatial and temporal behavior of contact mediated signal output (which we refer to as output) in growing cell collectives. We consider cell-cell contact length dependent output synthesis and output degradation in receptor cells together with cell division to understand how dynamics at the scale of single cells lead to heterogeneous signal output. By tracking single receptor cells over time in growing cell collectives in silico, we show that cell growth and division lead to continuous and dynamic rearrangement of cell-cell contact between receptor and ligand cells which in turn affect the output levels. Our model predicts that the orientation of cell division plays a key role in the heterogeneity of signal output. We elucidate the link between cell mechanical properties that control cell shape, growth, and division, with signal output in receptor cells during contact mediated signaling processes."
2026-06-22,26,10.64898/2026.06.19.732925,1,biochemistry,"kontakteUR: transforming coordinates to chemical intuition to focus on essential interactions in biomolecular systems","Scherlo, M.; Wippermann, E.; Fuertges, T.; Kuenne, R.; Yelboga, A.; Ruetten, F.; Boeckmann, M.; Hoeweler, U.; Rudack, T.","Molecular interactions govern cellular function, making them essential to discover biomolecular mechanisms by unravelling structure-function relationships. The rapid growth of AI-based prediction, experimental determination, and molecular dynamics simulations generates structural data at an unprecedented scale. However, structural information is typically represented as Cartesian coordinates, leaving chemical interactions and conformational relationships largely implicit. We introduce a high-throughput framework transforming structural geometry into a standardized, compact contact space. Moving beyond simple distance cutoffs, it provides a chemically and geometrically informed representation of various residue-residue interactions, their temporal changes, and conformations at residue-level resolution. Our contact-space representation enables systematic comparison and classification even for large-scale analysis. Case studies spanning structure comparison or studies of protein-protein, protein-ligand, protein-RNA, and antibody-antigen complexes, demonstrate how contact-space analysis reveals interaction patterns, identifies key mutation sites, and links structural features to experimental observations. With these and further applications, kontakteUR elucidates biomolecular function and assists targeted protein design, with results suited for further processing by artificial intelligence algorithms."
2026-06-22,26,10.64898/2026.06.19.733457,1,biochemistry,"Structural and functional insights into yeast Rqc1p, a protein required for thermotolerance with potential nuclear localization","Pereira-Antonio, A. C.; Oliveira, F. G. d. C.; Costa-Lima, M. M.; Coelho, A. F.; Rodrigues, E. M.; Franco, G. R.; de Barros, M. H.; Bleicher, L.; Tahara, E. B.","Protein homeostasis - i.e., proteostasis - is the biological process by which the qualitative and quantitative balance of the proteome is conducted, either by preserving functionally relevant proteins or by degrading unnecessary ones. Stress conditions can modulate cellular proteostasis in order to promote cytoprotection and preserve the viability of living organisms. Among the cellular pathways already described that can play an important role in preserving biological functions by modulating proteostasis are the heat shock response and the ribosome quality control pathways. In this work, we show that the Rqc1p protein is necessary for the thermoadaptation of S. cerevisiae to heat shock, as RQC1-deficient yeast is sensitive to elevated temperatures. In silico approaches - such as multiple sequence alignment, structural analysis, and molecular dynamics simulations - confirmed earlier predictions that Rqc1p shares characteristics with the bHLH family of proteins. We also verified, through computational prediction of sub-cellular localization, that S. cerevisiae Rqc1p contains nuclear localization signals, suggesting that this protein can potentially be translocated toward the nucleus, thereby broadening its current range of recognized biological functions in this organism. Also, analysis of yeast transcriptomes subjected to heat shock showed that Rqc1p mRNA levels do not fluctuate in response to heat shock, suggesting that cellular concentrations of Rqc1p are already at optimal levels to elicit a rapid and effective response during thermal stress in S. cerevisiae."
