Date,ISOWeek,DOI,Version,Category,Title,Authors
2026-04-30,18,10.64898/2026.04.29.26352017,1,genetic and genomic medicine,Sex differences in genetic pathways underlying ischaemic heart disease-depression comorbidity,"Romero, C.; Shadrin, A.; Parker, N.; Stinson, S. E.; Rodevand, L.; van der Meer, D.; OConnell, K.; van Walree, E.; Savage, J. E.; Posthuma, D.; Andreassen, O.; van der Sluis, S."
2026-04-30,18,10.64898/2026.04.29.26352034,1,infectious diseases,Bacterial co-infection and antimicrobial use in hospital-attended patients with laboratory-confirmed influenza infection: a systematic review and meta-analysis.,"Bott, H.; Pei, R.; Murphy, M. E.; Shi, T.; Ho, A."
2026-04-30,18,10.64898/2026.04.28.26351921,1,infectious diseases,"Implementation strategy modifications: An applied multi-site comparison using ERIC and FRAME-IS for the ""Fluoroquinolone Restriction for the Prevention of Clostridioides difficile infection Trial"" (FIRST)","Parmasad, V.; Solomon, D.; Wiegmann, D.; Schweizer-Looby, M.; Safdar, N."
2026-04-30,18,10.64898/2026.04.28.26352007,1,pharmacology and therapeutics,"Preliminary Safety Analysis of Two Pilot Clinical Trials Involving Injections of Niagen (R), Nicotinamide Riboside Chloride","Nkrumah-Elie, Y.; Kwon, J.; Simpson, S.; Idoine, R.; Mavoyan, J.; Russ, A.; Cavanaugh, J.; Fuller, K.; Hawkins, E.; Jaeger, J.; Shao, A."
2026-04-30,18,10.64898/2026.04.17.26351147,3,pharmacology and therapeutics,Sustained Effects of Low-to-Moderate Doses of Psilocybin on Brain Connectivity,"Bhagavan, C.; Dandash, O.; Carter, O. L.; Bryson, A.; Kanaan, R."
2026-05-01,18,10.64898/2026.04.29.26351683,1,infectious diseases,DNA capture and amplicon enrichment approaches for next-generation sequencing of Mycoplasma genitalium directly from clinical samples,"Guiraud, J.; Balcon, C.; Herice, C.; Gillet, L.; Gardette, M.; Touati, A.; Pereyre, S.; Bebear, C."
2026-05-01,18,10.64898/2026.04.27.26351816,1,infectious diseases,Coupling time-aware SNP thresholds with genetic markers to define bacterial transmission chains in hospital surveillance,"Burgaya, J.; Erdmann, J.; Knegendorf, L.; Baier, C.; Strunin, D.; Marvig, R. L.; Nielsen, K. L.; Hertz, F. B.; Schlueter, D.; Haeussler, S.; Galardini, M."
2026-05-01,18,10.64898/2026.04.29.26352021,1,infectious diseases,Vδ2 T cell activation by malaria is enhanced in second infection via the cell extrinsic cytokine milieu,"Dooley, N. L.; Pava, Z.; Andrew, D.; Stevens, N. E.; Frame, T.; Loughland, J. R.; Soon, M. S. F.; Oyong, D.; Rivera, F. d. L.; Mukhiya, R.; Hamelink, J.; Bukali, L.; Engel, J.; Ryan, F. J.; Lynn, D. J.; Kamya, M. R.; Ssewanyana, I.; Webster, R.; McCarthy, J. S.; Barber, B. E.; Lopez, J. A.; Engwerda, C.; Boyle, M. J."
2026-05-01,18,10.64898/2026.04.29.26352113,1,infectious diseases,Converting Passive Filtration Media into Active Air Biofiltration Surfaces for Airborne Viral Reduction,"Dacey, R."
2026-05-01,18,10.64898/2026.04.30.26352103,1,genetic and genomic medicine,Genome-wide detection and clinical prioritization of tandem repeat outliers using long-read sequencing,"Gibson, S. B.; Damaraju, N.; Gustafson, J. G.; Balton, E. V.; Chanprasert, S.; Glass, I. A.; Horike-Pyne, M.; Kumar, R. D.; Leppig, K. A.; Lundberg, C.; Ranchalis, J.; Rosenthal, E. A.; Solomon, A. K.; Stergachis, A. B.; Wener, M.; UDN,  ; Jarvik, G. P.; Blue, E. E.; Dipple, K. M.; Dashnow, H.; Starita, L. M.; Miller, D. E."
2026-05-01,18,10.64898/2026.04.30.26351819,1,infectious diseases,"Trends and risk factors associated with severity and mortality related to hepatitis A in French hospitals: a national population-based study, 2013 to 2024","Roque-Afonso, A.-M.; Mouliade, C.; Parlati, L.; Goutte, N.; Figoni, J.; Bouam, S.; Mallet, V."
2026-05-01,18,10.64898/2026.04.30.26352168,1,infectious diseases,"Scenario projections of congenital syphilis incidence in California, 2025-2030","Linton, N. M.; Burghardt, N. O.; de Guzman, N. S.; Snyder, R. E.; Leon, T. M.; Jacobson, K."
2026-05-01,18,10.64898/2026.04.30.26352100,1,infectious diseases,Deciphering antimicrobial resistance in bloodstream infections through clinical metagenomics,"Walaskar, S.; Jathar, P.; Mohapatra, P.; Chandrasingh, S.; George, C. E.; Rachannavar, Y.; Mishra, R.; MALIK, M. R."
