Date,ISOWeek,DOI,Version,Category,Title,Authors,Abstract
2026-06-29,27,10.64898/2026.06.25.26356634,1,epidemiology,"A study protocol for the project Meeqqat Peqqissut: A register-based study exploring social and health determinants of child well-being in Kalaallit Nunaat (Greenland).","Ottendahl, C. B.; Seidler, I. K.; Pedersen, L.; Blaabjerg, A.; Larsen, C. V. L.","IntroductionChild health and well-being in Kalaallit Nunaat (Greenland) remain a major public health concern, yet systematic, population-level research is limited. Previous studies have focused on isolated indicators such as vaccination coverage and infant mortality, without capturing the broader structural and social determinants shaping childrens lives. The Meeqqat Peqqissut project addresses this gap by developing a cross-sectoral, register-based approach to identify both risk and health promoting factors influencing child health and well-being for alle children in Kalaallit Nunaat. Grounded in the Indigenist Ecological Systems Model (IESM) and complemented by the Peqqissuserput framework, the project adopts a strengths-based perspective that emphasizes resilience and culturally embedded determinants of well-being.  MethodsMeeqqat Peqqissut is a collaboration between the Centre for Public Health in Greenland and Statistics Greenland. The study integrates longitudinal register data linked via personal identification numbers, combining healthcare records (COSMIC), socio-economic data from Statistics Greenland, municipal case management systems (Get Organized), and police records. Additional sources include education and social services. Data will be combined and analysed on Statistics Greenlands secure platform using advanced methods such as latent class and trajectory analyses. A participatory approach ensures continuous dialogue with practitioners to validate data quality and contextual relevance.  ResultsThe project supports evidence-based strategies for improving child health and well-being in Kalaallit Nunaat and contributes to the national public health strategy Inuuneritta III. It aligns with the Kalaallit Nunaat governments research strategy for 2022-2030, as it aims to support sustainable societal development by contributing to improved public health and reducing social health inequalities. Ethical approval has been obtained from the Scientific Ethics Committee in Kalaallit Nunaat (VEK 2025-12).  ConclusionThe Meeqqat Peqqissut project will provide a robust, cross-sectoral evidence base to strengthen efforts to improve child health and reduce social health inequalities in Kalaallit Nunaat. By integrating administrative data and applying an Indigenous, strengths-based framework, the study advances understanding of structural and social determinants of well-being. The project establishes a sustainable approach to equity-oriented child health monitoring and will inform policy, practice, and long-term public health action."
2026-06-29,27,10.64898/2026.06.23.26356314,1,epidemiology,"Application of the Health Belief Model using the PRECEDE-PROCEED framework for community-based hypertension control in rural Bangladesh: a cluster randomized trial protocol","Islam, M. T.; Haque, M. A.; Uddin, M. K.; Chakraborty, M.; Arafat, S. M.","BackgroundHypertension is a leading cause of cardiovascular morbidity and premature death in low- and middle-income countries (LMICs), where blood-pressure control remains poor because of suboptimal medication adherence, unhealthy lifestyle behaviours, and structural barriers to care. Theory-driven interventions based on the Health Belief Model (HBM) have shown promise, but most have treated the six HBM constructs as interchangeable predictors. Formative mixed-methods work by our group in the same population indicates that the constructs do not operate uniformly: perceived barriers and cues to action are associated with systolic blood pressure (SBP) through medication adherence, self-efficacy is associated with SBP through pathways other than adherence, and perceived severity--though near-universally endorsed--is motivationally inert. This trial will evaluate an HBM-based, mediation-informed, PRECEDE-PROCEED-guided educational intervention prioritised according to that mechanistic evidence.  MethodsThis is a parallel-group, community-based cluster randomised controlled trial with 1:1 allocation. Twelve community clusters in Kamalganj sub-district, north-east Bangladesh, will be randomly assigned to an HBM-based educational intervention or usual care (approximately 480 participants, [~]40 per cluster). The intervention, delivered over 12 months by trained community health workers, comprises five components: (i) group education with weighted emphasis on perceived barriers and self-efficacy; (ii) individual barrier-mapping and motivational counselling; (iii) enabling strategies including community blood-pressure monitoring corners, drug-supply continuity advocacy, and culturally compatible substitution for traditional remedies; (iv) reinforcing strategies through structured family engagement; and (v) provider training on gender-perception bias. The primary outcomes are change in mean SBP and the proportion achieving controlled blood pressure at 12 months. Secondary outcomes include HBM construct scores, medication adherence (Bangladesh Medication Adherence Scale, BMAS), lifestyle behaviours, and use of culturally embedded folk remedies, assessed at baseline, 6 and 12 months. Analyses follow intention-to-treat using mixed-effects models that account for clustering. An exploratory longitudinal mediation analysis will test whether trial-induced change in adherence mediates trial-induced change in SBP.  DiscussionThis trial will provide a prospective test of a mediation-prioritised HBM intervention and, if effective, a culturally tailored, scalable model for hypertension control in Bangladesh and comparable low-resource settings.  Trial registrationThis protocol is registered in ClinicalTrials.gov. Identifier: NCT07426978 (Date: 16/02/2026), Unique Protocol ID- PR-1440 (https://register.clinicaltrials.gov/prs/beta/records)"
2026-06-29,27,10.64898/2026.04.01.26349972,2,"pharmacology and therapeutics","Randomized controlled trials do not support efficacy of any of the tested doses of fluvoxamine in prevention of disease progression in adults with incipient non-severe COVID-19 disease: a case-study systematic review and meta-analysis","Trkulja, V.","BackgroundRecent meta-analyses of randomized controlled trials (RCTs) claimed efficacy of higher-dose fluvoxamine (2 x 100 mg/day, as opposed to 2 x 50 mg/day) in prevention of disease deterioration in adults with mild - moderate COVID-19 disease.  ObjectivesInvestigate whether such claims are supported by the data.  MethodsSystematic review and meta-analysis of RCTs evaluating higher-dose fluvoxamine in this indication.  ResultsSeven studies declared as RCTs were identified, one of which was severely biased (open-label, non-standardized and unreported standard of care as a control), and eventually ended as non-randomized (huge attrition). Composite endpoints of deterioration in the 6 included placebo-controlled trials contained elements susceptible to error and bias. Three trials were small (<100 patients/arm), three were larger (270 - 750 patients/arm). Deaths and need for mechanical ventilation were sporadic and observed in only one trial. Hospitalizations were also sporadic in 5/6 trials. Frequentist methods generally appropriate for random-effects analysis of low number of trials with rare outcomes (generalized linear mixed models, beta-binomial or binomial-normal) greatly underestimated heterogeneity, but still did not document benefits regarding the composite endpoints or hospitalizations. Bayesian hierarchical models revealed huge heterogeneity and indicated no benefit regarding: (i) composites of deterioration, large trials OR = 0.78 (95% CrI 0.55 - 1.21); multiplicity corrected OR = 0.87 (0.64 - 1.21); (ii) hospitalizations, small trials OR = 0.88 (0.45 - 1.72); large trials OR = 0.94 (0.52 - 1.75); all trials OR = 0.81 (0.47 - 1.43). Heterogeneity was unlikely due to clinical particulars (vaccination status, treatment duration, time horizon), and more likely due to unidentified bias.  ConclusionsRCTs do not support efficacy of higher-dose fluvoxamine in prevention of disease deterioration in adults with mild - moderate COVID-19 disease."
2026-06-29,27,10.64898/2026.06.24.26356485,1,"public and global health","Community identity, poverty, and antimicrobial discontinuation in a Particularly Vulnerable Tribal Group in central India: a cross-sectional study of healthcare choice and differentiated stewardship","Konar, D.; Patil, G. A.; Pradhan, I.; Singh, D.; Singh, T.; Chatterjee, B.; Walia, K.; Nandy, R.; Kataria, R.","BackgroundAntimicrobial stewardship in many settings assumes that community antimicrobial misuse reflects low awareness, and favours education-based interventions. Population-level evidence on healthcare seeking and antimicrobial practices in marginalised indigenous groups in low-income and middle-income countries is limited. We examined socioeconomic and identity-related determinants of healthcare-provider choice, antimicrobial awareness, and harmful antimicrobial practices in a tribal population in central India.  MethodsWe did a cross-sectional survey of 1146 adults in the catchment area of Jan Swasthya Sahyog (JSS), a non-profit community health organisation, in Bilaspur and Mungeli districts, Chhattisgarh, India (January, 2021-April, 2022). Healthcare-provider choice was modelled with binary and multinomial logistic regression (government as reference), and antimicrobial awareness and ten harmful practices with logistic regression, applying Benjamini-Hochberg false discovery rate (FDR) correction within each family. A 30-day treatment-recall sub-study (n=284) assessed actual treatment location and out-of-pocket cost. Models with rare events or separation were refitted with Firth penalised regression.  FindingsMedian per capita income was INR 8000 per year. Baiga identity was associated with higher odds of using informal (odds ratio 2.58) and private (2.55) providers rather than government facilities, but not JSS (1.36). Awareness of antimicrobials was 7.6% and was associated mainly with education (primary-or-less vs college 0.04). Baiga identity was independently associated with premature discontinuation (4.77), stopping for perceived intolerance (4.43), and financial discontinuation (6.81, 95% CI 3.51-13.25), but with lower odds of stopping because of perceived recovery (0.12). In the sub-study, predicted government-facility use was 1.6% for Baiga versus 18.1% for non-Baiga individuals. Findings were robust to Firth penalisation.  InterpretationIn this population, antibiotic non-completion was associated with poverty and access constraints rather than only with awareness, and a non-profit provider appeared to reach groups more equitably. Affordability-oriented, differentiated stewardship merits prospective evaluation. Findings are from a single catchment, are associational, and should be interpreted with the studys sampling in mind.  FundingIndian Council of Medical Research.  O_TEXTBOXResearch in ContextO_ST_ABSEvidence before this studyC_ST_ABSWe searched PubMed, Embase, and Google Scholar for studies published up to January, 2026, using terms including ""antimicrobial use"", ""healthcare seeking"", ""tribal"" or ""indigenous"", ""Particularly Vulnerable Tribal Group"", and ""India"", without language restriction. Population-level quantitative evidence on healthcare-provider choice and antimicrobial practices in marginalised indigenous communities in low-income and middle-income countries is scarce; most available data are from qualitative studies or administrative records and rarely separate the effects of poverty, education, and community identity, or compare public, private, informal, and non-profit providers within the same population.  Added value of this studyIn a cross-sectional survey of 1146 adults in a tribal catchment area in central India, Baiga identity (a Particularly Vulnerable Tribal Group) was independently associated with use of informal and private rather than government providers, and with poverty-related, apparently involuntary antibiotic discontinuation, but not with reduced use of a local non-profit provider. Awareness of antimicrobials was very low and was associated chiefly with formal education. These patterns suggest that antibiotic non-completion in this setting is associated with affordability and access constraints rather than only with knowledge.  Implications of all the available evidenceIn comparable settings, stewardship approaches focused only on awareness may be insufficient where non-completion reflects cost and access. Community-based non-profit providers may reach marginalised groups more equitably, although this requires confirmation in studies not anchored to a single providers catchment. Affordability-oriented, differentiated stewardship - including support for course completion - warrants prospective evaluation.  C_TEXTBOX"
2026-06-29,27,10.64898/2026.06.24.26356432,1,"public and global health","Enteric pathogen infections among infants in rural Bangladesh: prevalence, trial impact, and associations with enteric dysfunction and growth.","Müller-Hauser, A. A.; Lambrecht, N. J.; Sobhan, S.; Waid, J. L.; Huda, T. M. N.; Nurjadi, D.; Wendt, A. S.; Rahman, M.; Gabrysch, S.","BackgroundRepeated enteric infections and chronic enteric dysfunction have been associated with undernutrition in children. Interventions that reduce enteric pathogen exposure in young children could thereby improve growth and developmental outcomes. We assessed enteric pathogen prevalence in Bangladeshi infants, the impact of a combined homestead food production and food hygiene intervention on pathogen infections, and associations between pathogen infections, enteric dysfunction markers, and child growth outcomes.  MethodsWe analyzed panel data from 231 children born between April and December 2018 within the Food and Agricultural Approaches to Reducing Malnutrition (FAARM) cluster-randomized trial in Sylhet, Bangladesh. Stool samples were collected at 0-3, 6-8, and 10-13 months of age and assessed for enteric dysfunction biomarkers (myeloperoxidase, alpha-1 antitrypsin, and neopterin) by ELISA and 14 enteric pathogens by multiplex RT-PCR. Diarrhea prevalence was recorded using 7-day recall. Child length and weight were measured at birth and trial endline. Multilevel regression assessed the intervention effect and quantified associations between pathogen exposure, enteric dysfunction, and growth outcomes.  FindingsEnteric pathogen prevalence was high (84%) despite low 7-day diarrhea prevalence (5%), and co-infections were common. There was no intervention effect on the prevalence of enteric pathogens. Shigella spp. and Giardia lamblia were associated with higher myeloperoxidase concentrations, while sapovirus was associated with higher alpha-1 antitrypsin concentrations. Repeated protozoan infections (mainly Giardia lamblia) were associated with lower length-for-age, while repeated viral infections (mainly rotavirus and sapovirus) and Cryptosporidium infections were associated with lower weight-for-height and weight-for-age. There was marginal evidence that bacterial infections were associated with lower length-for-age.  ConclusionThe intervention was insufficient to reduce the high burden of enteric pathogens in infants, and subclinical infections were associated with enteric dysfunction and poorer growth outcomes. Comprehensive strategies addressing all key exposure pathways are needed to limit pathogen infections and their consequences for child development.  Author SummaryInfections of the gut are extremely common in young children in low-income settings and can cause lasting harm even when they do not produce obvious symptoms like diarrhea. In this study, we examined stool samples from infants in rural Bangladesh and found that over 80% carried at least one enteric pathogen at any given time, despite only 5% showing signs of diarrhea. This confirms that the majority of these infections go unnoticed by caregivers and standard health monitoring.  We investigated whether a combined program promoting home gardens, poultry rearing, better child feeding, and improved household food hygiene could reduce these infections, but found no measurable effect on pathogen burden. We found clear links between infection with specific pathogens and both gut inflammation and poorer child growth: protozoan parasites were associated with stunting, while viruses and Cryptosporidium were linked to wasting and underweight.  These findings underscore that visible illness is a poor proxy for pathogen exposure in infants in low-income settings, and that more comprehensive strategies, such as transformative water, sanitation, and hygiene approaches, may be needed to meaningfully reduce the hidden burden of enteric infections and their consequences for child development."
2026-06-29,27,10.64898/2026.06.25.26356625,1,"public and global health","Rethinking wellbeing measurement: learning from a scale development study with adolescents living with HIV in Zimbabwe","Mavhu, W.; Dambi, J. M.; Simms, V.; Martin, F.; Lariat, J.; Mbundure, R.; Makoni, L.; Kafata, L.; Wogrin, C.; Chitiyo, V.; Mutsinze, A.; Cowan, F. M.; Willis, N.; Bernays, S.","Adolescents living with HIV (ALHIV) in Eastern and Southern Africa experience substantial challenges around medication adherence, treatment, care, mental health and wellbeing. Although interventions such as Zvandiri aim to strengthen mental health and wellbeing to impact HIV treatment outcomes, available measures often focus on negative outcomes or rely on positive psychology instruments developed in high-income settings. These tools may not adequately capture culturally embedded, relational and fluctuating dimensions of wellbeing among ALHIV. We describe the development of the Zvandiri Character Strength (ZCS) scale and draw methodological lessons for culturally grounded wellbeing measurement.  The multi-stage scale-development process (2023-2025) comprised a scoping and systematic review, qualitative interviews and focus group discussions, expert panel input, construct and item prioritisation with ALHIV, cognitive interviews, iterative item reduction, and exploratory factor and Rasch analyses. An initial item bank was reduced to a 53-item candidate scale, then to the ZCS 38 and finally ZCS 25, based on quantitative analyses and participant feedback. The ZCS 25 was subsequently assessed using retrospective pretest, post-test and follow-up administration.  The review identified conceptually overlapping positive psychological constructs, many of which are measured using instruments developed in high-income settings and not adequately validated for ALHIV in sub-Saharan Africa. Qualitative work highlighted connectedness, happiness, hope, motivation, optimism, and perseverance as key. In addition, discussions highlighted how wellbeing was relational, contextually situated, and often co-occurring with distress. Quantitative testing showed highly positive responses, disordered thresholds, ceiling effects, weak internal structure and fluctuating retrospective ratings. Participant feedback suggested that positive responses were likely due to affirmations and partly linked to social desirability.  In conclusion, the ZCS scale did not support a single interpretable total score, but the process of its development offers important methodological lessons. Future measurement should begin with clearer construct definition, response-process validation, domain-level testing, and explicit decisions about whether the measure aims to capture lived wellbeing, domain-specific positive outcomes or intervention-relevant change."
2026-06-29,27,10.64898/2026.06.23.26356407,1,"public and global health","Mortality from birth through adolescence: Trends, Determinants, and Insights from a Longitudinal Cohort in Benin","Barry, K. M.; Cruz, M.; Alao, M. J.; Zoumenou, R.; Fermanian, C.; Massougbodji, A.; Bodeau-Livinec, F.","IntroductionDespite substantial global progress, child mortality remains a major public health burden, with sub-Saharan Africa disproportionately affected. In West Africa, deaths from preventable causes remain alarmingly high, yet longitudinal evidence on the rates and risk factors of child mortality in the region is scarce. This study is among the first in Benin to examine child mortality from birth to 14 years in a community-based, longitudinal cohort.  MethodsData originate from the Malaria in Pregnancy Preventive Alternative Drugs (MiPPAD) trial (NCT00811421), an open-label, randomized controlled trial that recruited pregnant women in their second trimester across four sub-Saharan African countries between September 2009 and December 2012. This analysis uses data from 1183 women enrolled at three health centers in the semi-rural Allada district of Benin, with offspring follow-up at 1, 9, and 12 months, 6 years, and 13-14 years.  ResultsAmong 1093 live births, 99 deaths were recorded between birth and 14 years of follow-up, alongside 44 stillbirths and 10 spontaneous abortions. The majority of deaths occurred within the first six years of life: 22 (22.2%) in the neonatal period, 34 (34.3%) between 28 days and 12 months, and 37 (37.4%) between one and six years, with only 6 (6.1%) deaths between six and 14 years. Respiratory distress was the predominant cause of neonatal death (81%), with half of those babies having low birthweight (<2500 g). Beyond 28 days, malaria became the leading cause, accounting for 45% of deaths between 28 days and 14 years. In adjusted analyses, having a previous live birth was associated with reduced overall mortality (RR 0.52, 95% CI 0.29, 0.94) while low birthweight (<2500 grams) was associated with elevated risk (RR 2.32, 95% CI 1.44, 3.73).  Discussion and ConclusionsChild mortality in this semi-rural Beninese cohort was concentrated in early life and driven primarily by respiratory distress in the neonatal period and malaria thereafter. These findings underscore the need for strengthened neonatal care infrastructure, expanded preterm birth support, and scaled-up malaria prevention strategies targeting young children -- priorities critical for advancing progress toward SDG 3.2 in West Africa.  FundingThis study was funded by the European Developing Countries Clinical Trials Partnership (EDCTP; IP.2007.31080.002) and by the Fondation de France (grant number 00060746 2015). The funders of the study had no role in the study design, data collection or analysis, decision to publish, or preparation of the manuscript."
2026-06-29,27,10.64898/2026.06.23.26356408,1,"public and global health","Microbiological Quality of Weaning Foods and Hygiene-Related Risk Factors in Peri-Urban, Lusaka Zambia","Chipungu, J.; Ngosa, D.; Bick, S.; Davies, K.; Mwila-Kazimbaya, K.; Sharma, A.; Braun, L.; Chilengi, R.; Knee, J.; Dreibelbis, R.","Food contamination contributes to 40% of childhood diarrhoea cases globally. It occurs when pathogens are transmitted from faecal matter to food through the faecal oral route. Food hygiene can prevent food contamination and improve the microbial quality of weaning foods in domestic settings. However, context specific evidence is needed to identify risk factors associated with food contamination, especially in complex low-income communities. Our study used a modified Hazard Analysis Critical Control Point approach to assess the quality of weaning foods and identify associated risk factors in a low income setting of Lusaka, Zambia. We enrolled 60 caregivers of children aged <1 year who had begun complementary feeding and collected data on household characteristics and food hygiene behaviours using surveys and structured observations. We collected samples of complimentary foods prepared for the child and tested them for Escherichia coli (E. coli) using the IDEXX Colilert-18 method. Multivariable logistic regression was performed to determine risk factors associated with food contamination. Of 59 food samples, 17 (29%) were contaminated with E. coli. Porridge (AOR = 0.04; 95% CI: 0.01, 0.28; p = 0.001) and non-animal source foods (AOR = 0.11; 95% CI: 0.02, 0.69; p = 0.019) were associated with lower odds of contamination compared with animal source foods. Heating of food was also associated with lower odds of contamination but was not significant. Food hygiene behaviours including utensil and surface cleaning were seldom practiced (17% and 15%, respectively), and handwashing with soap before food preparation was not practiced. Our study identifies the microbiological risk associated with animal source foods and the potential health risk posed to weaning children. Nutrition guidelines should take into consideration this risk as programs promote an increased uptake of animal source foods in child diets."
2026-06-29,27,10.64898/2026.06.24.26356477,1,"public and global health","A strengths-based, participatory qualitative exploration of digital information access and critical health literacy among culturally and linguistically diverse communities in Australia","Muscat, D. M.; Mustapha-Khodragha, N.; Wong, M.; Trisnasari, S.; Talla, G.; Rizkyanti, F.; Ng, S.; Kapoor, G.; Khalid, S.; Rigby, L.; Sourour, N.; Peri, B.; Nguyen, T. M.; Mac, O.; Lim, H. M.; McCaffery, K.; Ayre, J.","As the volume of online health information expands, critical health literacy is increasingly positioned as a key resource for navigating the contemporary ""infodemic"". This qualitative study examines how multi-lingual adults from diverse migrant backgrounds in Australia access and appraise online health information. Grounded in a participatory action research approach, bilingual community co-researchers (n=11), collectively speaking eight languages other than English, were embedded across all stages of the research. Semi-structured interviews with 55 participants were conducted in participants preferred languages. Underpinned by a critical realist epistemology and a strengths-based approach, we undertook an iterative, inductive Framework analysis. We constructed two themes (comprising 7 subthemes): (1) Navigating ""a jungle"" and (2) ""Its always a mix of trust and scepticism"". Our findings suggest that culturally and linguistically diverse communities are required to navigate demanding information environments characterised by an overwhelming volume of online health content, much of it not tailored to diverse language needs or literacy levels and drawn from sources that are often difficult to verify. Notwithstanding these structural challenges, our strengths-based analysis identified a repertoire of practices through which participants worked to locate understandable information and distinguish credible sources from misinformation. AI tools emerged as a resource in this process, operating as an extension of participants own cognitive and linguistic work to simplify and synthesise complex information, but positioned ambivalently within credibility practices. These findings have implications for the development of culturally responsive health literacy resources that build on the existing capacities of culturally and linguistically diverse communities."
2026-06-29,27,10.64898/2026.06.24.26356481,1,"infectious diseases","Operating characteristics of analysis methods for clinical trials in viral respiratory disease: A simulation study protocol","Schwenke, J. M.; Herkner, F.; Kayembe, M. T.; Olsen, I. C.; Briel, M.; König, F.","Acute viral respiratory infections (ARVIs) are a major cause of hospitalization and death worldwide, yet randomized clinical trials in this setting face substantial challenges in selecting efficient and clinically meaningful primary endpoints. Mortality is often too infrequent to serve as a feasible primary endpoint. Several alternative approaches have been proposed, including ordinal scales, time-to-event endpoints, recovery-based composite outcomes, and longitudinal ordinal models. However, their comparative operating characteristics under realistic ARVI disease courses remain insufficiently understood. We describe a simulation study to compare the type I error and power of commonly used and recently proposed endpoints and analysis strategies for two-arm randomized trials in hospitalized participants with ARVIs. Data will be generated under several mechanisms designed to mimic plausible participant trajectories, including a latent Brownian motion process, a first-order ordinal Markov process, a latent recurrent-event process with frailty, and resampling from individual participant data from the ACTT-2 trial. Simulated outcomes will use 4-, 6-, and 8-level ordinal severity scales and will reflect moderately and severely ill populations, follow-up horizons of 28 or 60 days, varying treatment effects, and sample sizes. Methods to be compared include Markov ordinal state transition models, proportional-odds models at a fixed time point, days-to-recovery scale analyses, Cox models for time-to-event endpoints, logistic regression for binary endpoints, generalized pairwise comparisons for hierarchical composites, and t-tests for days alive and out of hospital. This study will provide a systematic comparison of endpoint definitions and analysis methods for ARVI trials under clinically motivated data-generating mechanisms. The results are intended to inform the selection of feasible, interpretable, and statistically efficient primary analysis strategies for future trials in viral respiratory disease."
